143503361,0.96
54530371,7.8
16108331,5.75
72264719,4.61
76746437,41.95
3183750,3.12
79831840,10.88
49131654,18.25
159224823,14.07
147415323,109.53
127619470,22.23
128170344,27.35
113958919,33.0
159908458,43.73
159101500,3.15
187083413,23.67
78600915,1.29
432,6.73
60738164,1.67
11899736,3.94
7275,139.95
102018175,6.75
138651171,6.24
277240,18.69
8679781,2.52
150480082,0.55
56668350,16.22
21916383,1.76
104010718,23.57
113659416,0.81
64204542,6.14
63204808,4.51
38346729,6.57
101536738,19.58
85021419,21.67
31685537,1.57
21721737,1.76
94090097,154.22
40628317,32.7
99076357,1.98
64941149,0.04
62731018,0.69
104610799,8.69
16836019,0.04
148776817,19.01
177115249,3.38
126670475,19.7
57408355,13.71
51178293,7.35
24356606,3.9
71014553,0.4
98554526,2.73
24847633,4.39
165027041,26.68
105242702,23.1
49371114,47.62
124271901,10.86
121175786,32.7
127259360,15.74
54916180,45.3
63146178,8.89
152484379,37.71
171048481,0.74
18505771,7.43
89152204,7.99
175353305,2.18
78490537,3.65
20456250,17.31
162662347,19.87
165797093,45.27
9363449,12.28
101418717,16.15
58538268,20.31
176154009,42.03
76585031,43.73
96656119,10.04
190971162,2.96
108102479,77.33
44273004,11.26
169283778,18.5
57265575,0.71
33035481,222.07
50281905,10.72
188179916,156.47
186847522,2.23
153792869,22.58
90696629,4.96
125740597,13.52
4344135,100.95
113394775,23.43
80270762,214.94
