143503361,0.24
54530371,0.92
16108331,1.38
72264719,1.8
76746437,1.21
3183750,1.67
79831840,1.66
49131654,3.97
159224823,2.4
147415323,0.13
127619470,1.71
128170344,5.34
113958919,1.87
159908458,3.5
159101500,0.22
187083413,6.39
78600915,0.85
432,0.57
60738164,0.71
11899736,3.32
7275,0.57
102018175,0.7
138651171,0.73
277240,0.82
8679781,1.1
150480082,1.07
56668350,0.75
21916383,0.31
104010718,0.48
113659416,1.43
64204542,1.04
63204808,14.32
38346729,0.67
101536738,0.86
85021419,1.09
31685537,0.36
1051224,0.06
21721737,1.62
124820868,1.61
141391662,14.49
74894890,0.56
78347783,0.62
37289296,2.14
94090097,0.1
40628317,2.14
99076357,2.4
62731018,1.34
104610799,2.04
148776817,1.56
177115249,0.55
126670475,0.5
57408355,1.46
51178293,4.12
24356606,3.87
71014553,0.55
98554526,0.82
24847633,1.79
165027041,2.32
105242702,2.01
49371114,0.04
124271901,1.49
121175786,3.47
127259360,1.5
54916180,1.03
63146178,1.29
152484379,2.76
171048481,0.26
18505771,1.4
89152204,1.24
175353305,1.71
78490537,2.58
20456250,1.73
162662347,0.37
165797093,1.46
9363449,2.63
176739799,1.98
82157362,0.73
45577075,2.95
66226819,0.12
83691621,0.13
63262260,0.98
46119452,0.6
101418717,1.39
58538268,1.02
176154009,3.03
76585031,1.25
96656119,2.66
190971162,0.27
108102479,1.78
187282511,0.34
44273004,1.33
169283778,1.94
57265575,0.6
33035481,0.28
50281905,3.04
188179916,3.68
186847522,0.14
153792869,1.21
90696629,1.79
125740597,3.5
4344135,0.55
113394775,8.03
80270762,0.64
